id,duration,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_id,subscription_type,zip_code
5912,3328,8/30/2013 15:14,Steuart at Market,74,8/30/2013 16:10,2nd at Townsend,61,312,Subscriber,94107
7230,496,8/31/2013 16:42,Paseo de San Antonio,7,8/31/2013 16:50,San Jose Diridon Caltrain Station,2,683,Subscriber,95126
7072,556,8/31/2013 14:59,Yerba Buena Center of the Arts (3rd @ Howard),68,8/31/2013 15:08,2nd at South Park,64,266,Customer,94107
7051,697,8/31/2013 14:51,Davis at Jackson,42,8/31/2013 15:02,Post at Kearney,47,563,Customer,94025
7265,721,8/31/2013 17:00,2nd at Townsend,61,8/31/2013 17:12,Harry Bridges Plaza (Ferry Building),50,284,Customer,94107
6550,1610,8/31/2013 9:58,2nd at Townsend,61,8/31/2013 10:24,2nd at Townsend,61,429,Customer,98101
6661,4929,8/31/2013 11:25,Market at 4th,76,8/31/2013 12:47,Embarcadero at Sansome,60,326,Customer,91706
7143,12303,8/31/2013 15:45,Mountain View Caltrain Station,28,8/31/2013 19:10,Mountain View Caltrain Station,28,142,Customer,
7557,12926,9/1/2013 10:38,Powell at Post (Union Square),71,9/1/2013 14:13,Powell at Post (Union Square),71,493,Customer,
7697,236,9/1/2013 12:04,Harry Bridges Plaza (Ferry Building),50,9/1/2013 12:08,Spear at Folsom,49,545,Customer,
7830,814,9/1/2013 13:12,San Jose Diridon Caltrain Station,2,9/1/2013 13:25,San Jose Civic Center,3,37,Customer,94116
7866,1548,9/1/2013 13:32,Harry Bridges Plaza (Ferry Building),50,9/1/2013 13:58,Embarcadero at Vallejo,48,509,Customer,90742
8082,5883,9/1/2013 15:17,Davis at Jackson,42,9/1/2013 16:55,Davis at Jackson,42,337,Customer,90024
8207,996,9/1/2013 16:16,Embarcadero at Bryant,54,9/1/2013 16:33,Embarcadero at Sansome,60,602,Subscriber,94105
8342,6870,9/1/2013 18:16,Harry Bridges Plaza (Ferry Building),50,9/1/2013 20:11,Harry Bridges Plaza (Ferry Building),50,448,Customer,
8477,3214,9/2/2013 0:20,Harry Bridges Plaza (Ferry Building),50,9/2/2013 1:14,Embarcadero at Sansome,60,371,Customer,94704
8554,626,9/2/2013 8:59,Civic Center BART (7th at Market),72,9/2/2013 9:09,Steuart at Market,74,486,Subscriber,94110
8855,8920,9/2/2013 13:05,Clay at Battery,41,9/2/2013 15:34,Clay at Battery,41,341,Customer,19096
8889,734,9/2/2013 13:30,Harry Bridges Plaza (Ferry Building),50,9/2/2013 13:42,Howard at 2nd,63,292,Customer,94107
9177,1040,9/2/2013 17:15,Market at 4th,76,9/2/2013 17:33,Townsend at 7th,65,539,Customer,94702
9202,680,9/2/2013 17:51,San Salvador at 1st,8,9/2/2013 18:03,Arena Green / SAP Center,14,65,Subscriber,95126
9220,1708,9/2/2013 18:17,Embarcadero at Vallejo,48,9/2/2013 18:45,Embarcadero at Sansome,60,281,Customer,
9310,1633,9/2/2013 20:11,Yerba Buena Center of the Arts (3rd @ Howard),68,9/2/2013 20:39,5th at Howard,57,379,Customer,94116
9324,1684,9/2/2013 20:48,Harry Bridges Plaza (Ferry Building),50,9/2/2013 21:16,Powell at Post (Union Square),71,515,Customer,93405
9341,604,9/2/2013 21:24,Embarcadero at Folsom,51,9/2/2013 21:34,5th at Howard,57,476,Subscriber,94103
9618,375,9/3/2013 11:43,San Pedro Square,6,9/3/2013 11:49,San Pedro Square,6,26,Subscriber,95126
9622,960,9/3/2013 11:46,San Francisco City Hall,58,9/3/2013 12:02,Embarcadero at Vallejo,48,271,Subscriber,94114
9720,1057,9/3/2013 13:10,Spear at Folsom,49,9/3/2013 13:27,Post at Kearney,47,339,Customer,81541
9723,17453,9/3/2013 13:13,Powell Street BART,39,9/3/2013 18:04,Powell Street BART,39,608,Customer,94102
10003,1287,9/3/2013 17:03,Market at 10th,67,9/3/2013 17:25,Embarcadero at Sansome,60,466,Customer,80401
10423,484,9/4/2013 10:05,South Van Ness at Market,66,9/4/2013 10:13,South Van Ness at Market,66,610,Subscriber,94612
10838,6081,9/4/2013 15:34,University and Emerson,35,9/4/2013 17:15,Palo Alto Caltrain Station,34,150,Customer,
11184,494,9/5/2013 6:29,2nd at Townsend,61,9/5/2013 6:37,Post at Kearney,47,580,Subscriber,94107
11187,939,9/5/2013 6:47,Townsend at 7th,65,9/5/2013 7:02,Beale at Market,56,499,Subscriber,94107
11293,847,9/5/2013 9:13,Howard at 2nd,63,9/5/2013 9:27,Market at 10th,67,464,Customer,94709
11419,407,9/5/2013 11:54,Civic Center BART (7th at Market),72,9/5/2013 12:01,Market at 4th,76,571,Subscriber,94110
11482,225,9/5/2013 13:04,Beale at Market,56,9/5/2013 13:08,Harry Bridges Plaza (Ferry Building),50,333,Subscriber,94107
11582,445,9/5/2013 14:35,Washington at Kearney,46,9/5/2013 14:42,Mechanics Plaza (Market at Battery),75,413,Customer,8032
11699,803,9/5/2013 17:03,Steuart at Market,74,9/5/2013 17:17,Civic Center BART (7th at Market),72,354,Subscriber,94103
11736,2071,9/5/2013 17:25,Powell Street BART,39,9/5/2013 18:00,Market at Sansome,77,480,Customer,94115
11791,775,9/5/2013 18:01,2nd at South Park,64,9/5/2013 18:14,Market at 4th,76,352,Customer,5017
12044,579,9/6/2013 7:28,Yerba Buena Center of the Arts (3rd @ Howard),68,9/6/2013 7:38,Commercial at Montgomery,45,600,Subscriber,94404
12194,309,9/6/2013 9:50,Harry Bridges Plaza (Ferry Building),50,9/6/2013 9:55,Temporary Transbay Terminal (Howard at Beale),55,632,Subscriber,94158
12272,8675,9/6/2013 11:29,Mountain View Caltrain Station,28,9/6/2013 13:54,Mountain View Caltrain Station,28,157,Customer,
12313,983,9/6/2013 12:07,Park at Olive,38,9/6/2013 12:23,University and Emerson,35,162,Subscriber,94040
12382,249,9/6/2013 12:47,San Salvador at 1st,8,9/6/2013 12:51,MLK Library,11,181,Subscriber,95113
12514,612,9/6/2013 14:29,Yerba Buena Center of the Arts (3rd @ Howard),68,9/6/2013 14:39,Embarcadero at Folsom,51,275,Subscriber,94116
12754,220,9/6/2013 17:32,San Francisco Caltrain (Townsend at 4th),70,9/6/2013 17:36,Townsend at 7th,65,363,Subscriber,94105
12999,1297,9/6/2013 20:14,2nd at Folsom,62,9/6/2013 20:36,Yerba Buena Center of the Arts (3rd @ Howard),68,598,Customer,94107
13016,764,9/6/2013 20:36,Spear at Folsom,49,9/6/2013 20:49,Yerba Buena Center of the Arts (3rd @ Howard),68,520,Customer,
13028,995,9/6/2013 20:51,San Salvador at 1st,8,9/6/2013 21:07,Arena Green / SAP Center,14,40,Subscriber,95066
13119,813,9/6/2013 23:31,Grant Avenue at Columbus Avenue,73,9/6/2013 23:45,Embarcadero at Folsom,51,582,Subscriber,94105
13138,3341,9/7/2013 1:22,University and Emerson,35,9/7/2013 2:17,University and Emerson,35,100,Customer,94536
13262,557,9/7/2013 9:50,Steuart at Market,74,9/7/2013 9:59,Clay at Battery,41,369,Customer,94133
13364,946,9/7/2013 11:20,2nd at South Park,64,9/7/2013 11:36,Harry Bridges Plaza (Ferry Building),50,326,Subscriber,94107
13370,939,9/7/2013 11:29,Mechanics Plaza (Market at Battery),75,9/7/2013 11:44,Market at 10th,67,393,Customer,97217
13387,601,9/7/2013 11:45,Washington at Kearney,46,9/7/2013 11:55,Washington at Kearney,46,482,Subscriber,94111
13457,491,9/7/2013 12:29,Embarcadero at Sansome,60,9/7/2013 12:38,Harry Bridges Plaza (Ferry Building),50,611,Subscriber,94158
13531,2830,9/7/2013 12:58,South Van Ness at Market,66,9/7/2013 13:45,South Van Ness at Market,66,434,Customer,
13559,976,9/7/2013 13:09,Harry Bridges Plaza (Ferry Building),50,9/7/2013 13:26,2nd at South Park,64,636,Customer,94107
13962,1576,9/7/2013 17:48,California Ave Caltrain Station,36,9/7/2013 18:15,University and Emerson,35,158,Customer,
14449,756,9/8/2013 11:46,Steuart at Market,74,9/8/2013 11:59,5th at Howard,57,454,Customer,92663
14569,356,9/8/2013 13:09,Clay at Battery,41,9/8/2013 13:15,Embarcadero at Vallejo,48,547,Customer,94110
14618,1333,9/8/2013 13:43,Market at Sansome,77,9/8/2013 14:06,Market at 10th,67,540,Customer,2215
14711,720,9/8/2013 14:43,Embarcadero at Bryant,54,9/8/2013 14:55,Embarcadero at Sansome,60,626,Customer,
14724,1065,9/8/2013 14:53,Embarcadero at Vallejo,48,9/8/2013 15:11,Powell at Post (Union Square),71,538,Customer,
14751,426,9/8/2013 15:12,Beale at Market,56,9/8/2013 15:19,Market at 4th,76,321,Subscriber,94107
14907,211,9/8/2013 17:06,Golden Gate at Polk,59,9/8/2013 17:09,Civic Center BART (7th at Market),72,572,Subscriber,94102
15061,1129,9/8/2013 21:30,South Van Ness at Market,66,9/8/2013 21:49,Market at Sansome,77,574,Customer,93270
15112,630,9/9/2013 7:05,San Francisco Caltrain (Townsend at 4th),70,9/9/2013 7:15,Civic Center BART (7th at Market),72,363,Subscriber,94114
15152,211,9/9/2013 7:37,Beale at Market,56,9/9/2013 7:41,Market at Sansome,77,500,Subscriber,94609
15180,763,9/9/2013 8:02,Market at Sansome,77,9/9/2013 8:15,Embarcadero at Sansome,60,500,Subscriber,94110
15593,6429,9/9/2013 13:31,Harry Bridges Plaza (Ferry Building),50,9/9/2013 15:18,Embarcadero at Sansome,60,401,Customer,19047
15727,600,9/9/2013 16:09,Steuart at Market,74,9/9/2013 16:19,San Francisco Caltrain 2 (330 Townsend),69,400,Subscriber,94102
15790,263,9/9/2013 17:07,2nd at South Park,64,9/9/2013 17:11,Market at Sansome,77,499,Subscriber,94606
15832,410,9/9/2013 17:30,2nd at South Park,64,9/9/2013 17:36,Market at Sansome,77,619,Subscriber,94080
16046,743,9/9/2013 20:05,Townsend at 7th,65,9/9/2013 20:18,Civic Center BART (7th at Market),72,318,Customer,94107
16304,539,9/10/2013 8:48,Clay at Battery,41,9/10/2013 8:57,Howard at 2nd,63,330,Subscriber,94619
16322,493,9/10/2013 8:56,Temporary Transbay Terminal (Howard at Beale),55,9/10/2013 9:04,Powell Street BART,39,540,Subscriber,94102
16407,663,9/10/2013 9:39,Civic Center BART (7th at Market),72,9/10/2013 9:50,2nd at South Park,64,486,Subscriber,94103
16409,486,9/10/2013 9:41,Steuart at Market,74,9/10/2013 9:49,2nd at Townsend,61,535,Subscriber,94612
16537,306,9/10/2013 12:04,Temporary Transbay Terminal (Howard at Beale),55,9/10/2013 12:09,Harry Bridges Plaza (Ferry Building),50,372,Customer,95070
16544,1152,9/10/2013 12:08,South Van Ness at Market,66,9/10/2013 12:27,Spear at Folsom,49,480,Subscriber,94611
16730,1164,9/10/2013 14:44,Embarcadero at Sansome,60,9/10/2013 15:03,2nd at Folsom,62,312,Customer,94306
16801,437,9/10/2013 15:42,Embarcadero at Vallejo,48,9/10/2013 15:49,Grant Avenue at Columbus Avenue,73,270,Customer,37923
16829,1340,9/10/2013 16:03,Beale at Market,56,9/10/2013 16:25,Townsend at 7th,65,405,Subscriber,94107
17069,442,9/10/2013 18:16,Market at 4th,76,9/10/2013 18:23,Market at Sansome,77,282,Subscriber,94103
17138,274,9/10/2013 19:04,Santa Clara at Almaden,4,9/10/2013 19:09,San Jose Diridon Caltrain Station,2,658,Customer,95032
17140,814,9/10/2013 19:06,2nd at Townsend,61,9/10/2013 19:20,Beale at Market,56,483,Customer,94710
17157,191,9/10/2013 19:21,San Jose Diridon Caltrain Station,2,9/10/2013 19:24,San Jose Diridon Caltrain Station,2,645,Customer,95032
17199,322,9/10/2013 19:58,Post at Kearney,47,9/10/2013 20:04,5th at Howard,57,259,Subscriber,94105
17429,525,9/11/2013 8:17,South Van Ness at Market,66,9/11/2013 8:26,Market at 4th,76,267,Subscriber,94103
17637,1066,9/11/2013 10:23,Powell at Post (Union Square),71,9/11/2013 10:41,Embarcadero at Sansome,60,363,Customer,
17656,2440,9/11/2013 10:55,Civic Center BART (7th at Market),72,9/11/2013 11:36,Market at 4th,76,511,Customer,3810
17684,124,9/11/2013 11:25,Market at Sansome,77,9/11/2013 11:27,Mechanics Plaza (Market at Battery),75,620,Subscriber,94111
17753,4836,9/11/2013 12:26,MLK Library,11,9/11/2013 13:46,MLK Library,11,64,Customer,94568
17890,629,9/11/2013 14:29,Davis at Jackson,42,9/11/2013 14:40,Embarcadero at Vallejo,48,352,Subscriber,94111
17926,9180,9/11/2013 14:52,Harry Bridges Plaza (Ferry Building),50,9/11/2013 17:25,Powell at Post (Union Square),71,363,Customer,80538
17981,610,9/11/2013 15:53,Embarcadero at Sansome,60,9/11/2013 16:03,Howard at 2nd,63,383,Subscriber,94602
18129,360,9/11/2013 17:37,Embarcadero at Vallejo,48,9/11/2013 17:43,Spear at Folsom,49,292,Subscriber,94105
18137,466,9/11/2013 17:38,2nd at South Park,64,9/11/2013 17:46,Temporary Transbay Terminal (Howard at Beale),55,398,Subscriber,94705
18427,238,9/11/2013 21:27,San Salvador at 1st,8,9/11/2013 21:31,Paseo de San Antonio,7,99,Subscriber,95112
18683,223,9/12/2013 9:05,SJSU 4th at San Carlos,12,9/12/2013 9:09,San Jose City Hall,10,91,Subscriber,95062
18710,707,9/12/2013 9:21,Howard at 2nd,63,9/12/2013 9:32,San Francisco Caltrain (Townsend at 4th),70,344,Subscriber,94105
18791,758,9/12/2013 10:08,Civic Center BART (7th at Market),72,9/12/2013 10:20,2nd at South Park,64,273,Subscriber,94103
18811,24827,9/12/2013 10:21,Washington at Kearney,46,9/12/2013 17:15,Washington at Kearney,46,280,Customer,50969
18908,357,9/12/2013 11:45,San Francisco Caltrain (Townsend at 4th),70,9/12/2013 11:51,2nd at South Park,64,496,Subscriber,94105
18941,423,9/12/2013 12:07,Market at 4th,76,9/12/2013 12:14,Harry Bridges Plaza (Ferry Building),50,507,Subscriber,94103
18948,1214,9/12/2013 12:16,Clay at Battery,41,9/12/2013 12:36,Mechanics Plaza (Market at Battery),75,281,Subscriber,94111
19101,976,9/12/2013 14:01,Embarcadero at Sansome,60,9/12/2013 14:17,5th at Howard,57,615,Customer,94102
19121,924,9/12/2013 14:12,Beale at Market,56,9/12/2013 14:27,Embarcadero at Bryant,54,524,Customer,2478
19166,696,9/12/2013 15:14,San Jose Diridon Caltrain Station,2,9/12/2013 15:26,San Pedro Square,6,609,Subscriber,95113
19212,608,9/12/2013 15:54,Embarcadero at Sansome,60,9/12/2013 16:04,Harry Bridges Plaza (Ferry Building),50,501,Customer,98103
19282,326,9/12/2013 16:42,Beale at Market,56,9/12/2013 16:48,Beale at Market,56,603,Subscriber,94118
19378,597,9/12/2013 17:33,2nd at Townsend,61,9/12/2013 17:42,Steuart at Market,74,381,Subscriber,94612
19639,324,9/12/2013 20:54,Civic Center BART (7th at Market),72,9/12/2013 21:00,Market at 10th,67,544,Customer,3290
19669,914,9/12/2013 21:29,South Van Ness at Market,66,9/12/2013 21:45,2nd at South Park,64,478,Customer,94107
19710,380,9/12/2013 23:44,Howard at 2nd,63,9/12/2013 23:51,2nd at Townsend,61,518,Subscriber,94107
19755,556,9/13/2013 7:09,Market at 10th,67,9/13/2013 7:18,Powell Street BART,39,544,Subscriber,94103
19945,929,9/13/2013 9:01,San Francisco Caltrain 2 (330 Townsend),69,9/13/2013 9:16,Clay at Battery,41,556,Subscriber,94107
20152,5276,9/13/2013 11:27,San Francisco Caltrain 2 (330 Townsend),69,9/13/2013 12:55,Civic Center BART (7th at Market),72,374,Subscriber,94107
20304,523,9/13/2013 13:02,Adobe on Almaden,5,9/13/2013 13:11,San Pedro Square,6,649,Subscriber,94536
20334,337,9/13/2013 13:13,San Pedro Square,6,9/13/2013 13:19,San Jose City Hall,10,40,Subscriber,95138
20466,2137,9/13/2013 15:02,Market at 10th,67,9/13/2013 15:37,Market at 10th,67,350,Customer,94102
20776,348,9/13/2013 18:20,Harry Bridges Plaza (Ferry Building),50,9/13/2013 18:26,Embarcadero at Bryant,54,503,Subscriber,94105
20867,1001,9/13/2013 19:26,2nd at Townsend,61,9/13/2013 19:43,Powell at Post (Union Square),71,310,Customer,94123
20967,595,9/13/2013 21:08,Harry Bridges Plaza (Ferry Building),50,9/13/2013 21:18,Powell Street BART,39,377,Customer,98103
21000,1388,9/13/2013 22:00,Embarcadero at Sansome,60,9/13/2013 22:23,Grant Avenue at Columbus Avenue,73,581,Customer,
21097,23353,9/14/2013 9:51,California Ave Caltrain Station,36,9/14/2013 16:20,California Ave Caltrain Station,36,137,Customer,94306
21140,398,9/14/2013 10:59,Embarcadero at Bryant,54,9/14/2013 11:05,Howard at 2nd,63,511,Subscriber,94105
21219,567,9/14/2013 12:00,Embarcadero at Sansome,60,9/14/2013 12:10,Post at Kearney,47,347,Subscriber,94111
21398,18567,9/14/2013 13:59,2nd at South Park,64,9/14/2013 19:09,Post at Kearney,47,487,Customer,94107
21407,640,9/14/2013 14:05,Mountain View City Hall,27,9/14/2013 14:16,Evelyn Park and Ride,30,112,Customer,95110
21571,966,9/14/2013 15:59,Howard at 2nd,63,9/14/2013 16:15,Powell at Post (Union Square),71,584,Subscriber,94122
21609,14168,9/14/2013 16:20,Embarcadero at Sansome,60,9/14/2013 20:16,Harry Bridges Plaza (Ferry Building),50,266,Customer,2145
21875,475,9/14/2013 21:26,Market at Sansome,77,9/14/2013 21:34,Spear at Folsom,49,378,Subscriber,94105
21919,1003,9/15/2013 0:47,Mountain View Caltrain Station,28,9/15/2013 1:03,Rengstorff Avenue / California Street,33,140,Customer,94040
22336,1030,9/15/2013 14:50,Market at 10th,67,9/15/2013 15:08,Davis at Jackson,42,457,Subscriber,94538
22387,1245,9/15/2013 15:28,San Francisco Caltrain (Townsend at 4th),70,9/15/2013 15:49,Embarcadero at Sansome,60,333,Subscriber,94158
22502,1020,9/15/2013 16:44,Harry Bridges Plaza (Ferry Building),50,9/15/2013 17:01,Civic Center BART (7th at Market),72,340,Customer,94117
22725,330,9/16/2013 6:40,2nd at Townsend,61,9/16/2013 6:46,Howard at 2nd,63,468,Subscriber,94107
22838,366,9/16/2013 8:22,Spear at Folsom,49,9/16/2013 8:29,2nd at Folsom,62,617,Subscriber,94105
22892,145,9/16/2013 8:52,San Salvador at 1st,8,9/16/2013 8:54,SJSU 4th at San Carlos,12,679,Subscriber,95112
22911,680,9/16/2013 9:00,Mechanics Plaza (Market at Battery),75,9/16/2013 9:11,Golden Gate at Polk,59,539,Subscriber,94608
23103,446,9/16/2013 11:27,Howard at 2nd,63,9/16/2013 11:34,Powell at Post (Union Square),71,525,Subscriber,94105
23116,267,9/16/2013 11:38,Davis at Jackson,42,9/16/2013 11:42,Commercial at Montgomery,45,333,Subscriber,94133
23406,991,9/16/2013 15:57,2nd at South Park,64,9/16/2013 16:14,Davis at Jackson,42,600,Subscriber,94111
23408,741,9/16/2013 15:58,Civic Center BART (7th at Market),72,9/16/2013 16:11,Steuart at Market,74,339,Subscriber,94103
23435,534,9/16/2013 16:15,Market at 4th,76,9/16/2013 16:24,Steuart at Market,74,515,Customer,30080
23472,239,9/16/2013 16:34,Townsend at 7th,65,9/16/2013 16:38,San Francisco Caltrain (Townsend at 4th),70,619,Subscriber,94403
23526,539,9/16/2013 17:09,Yerba Buena Center of the Arts (3rd @ Howard),68,9/16/2013 17:18,San Francisco Caltrain (Townsend at 4th),70,332,Subscriber,94070
23548,222,9/16/2013 17:20,2nd at South Park,64,9/16/2013 17:24,San Francisco Caltrain 2 (330 Townsend),69,365,Subscriber,95126
23628,548,9/16/2013 18:02,Townsend at 7th,65,9/16/2013 18:11,Civic Center BART (7th at Market),72,361,Customer,94538
23829,322,9/16/2013 20:21,Townsend at 7th,65,9/16/2013 20:26,Civic Center BART (7th at Market),72,320,Subscriber,94707
23942,541,9/17/2013 6:41,San Francisco Caltrain (Townsend at 4th),70,9/17/2013 6:50,Spear at Folsom,49,592,Subscriber,94404
24201,666,9/17/2013 9:05,Market at Sansome,77,9/17/2013 9:16,2nd at South Park,64,578,Subscriber,94080
24412,1116,9/17/2013 11:46,Steuart at Market,74,9/17/2013 12:04,South Van Ness at Market,66,567,Customer,94025
24543,2754,9/17/2013 13:05,Howard at 2nd,63,9/17/2013 13:51,Howard at 2nd,63,618,Customer,94107
24567,530,9/17/2013 13:17,Embarcadero at Vallejo,48,9/17/2013 13:26,Howard at 2nd,63,508,Subscriber,94602
24867,625,9/17/2013 17:12,Embarcadero at Folsom,51,9/17/2013 17:22,San Francisco Caltrain 2 (330 Townsend),69,336,Subscriber,94107
24895,630,9/17/2013 17:20,Steuart at Market,74,9/17/2013 17:31,San Francisco Caltrain (Townsend at 4th),70,416,Subscriber,95050
25021,841,9/17/2013 18:05,San Francisco Caltrain (Townsend at 4th),70,9/17/2013 18:19,Market at Sansome,77,501,Subscriber,94110
25107,260,9/17/2013 18:43,Howard at 2nd,63,9/17/2013 18:48,5th at Howard,57,572,Customer,94107
25126,839,9/17/2013 18:58,Market at 10th,67,9/17/2013 19:12,2nd at South Park,64,585,Subscriber,94107
25351,507,9/17/2013 22:36,2nd at South Park,64,9/17/2013 22:44,5th at Howard,57,461,Subscriber,94107
25495,280,9/18/2013 8:06,San Salvador at 1st,8,9/18/2013 8:10,MLK Library,11,650,Subscriber,95113
25526,343,9/18/2013 8:22,Davis at Jackson,42,9/18/2013 8:28,Beale at Market,56,292,Subscriber,94111
25873,729,9/18/2013 11:59,San Francisco Caltrain (Townsend at 4th),70,9/18/2013 12:11,Embarcadero at Folsom,51,637,Subscriber,94105
26022,272,9/18/2013 13:29,Post at Kearney,47,9/18/2013 13:33,2nd at Folsom,62,586,Subscriber,94118
26173,461,9/18/2013 15:36,Market at Sansome,77,9/18/2013 15:44,Grant Avenue at Columbus Avenue,73,443,Subscriber,94133
26386,784,9/18/2013 17:27,Market at 4th,76,9/18/2013 17:40,Townsend at 7th,65,537,Subscriber,94107
26491,812,9/18/2013 18:09,Market at Sansome,77,9/18/2013 18:22,2nd at Townsend,61,620,Subscriber,94107
26541,342,9/18/2013 18:34,Harry Bridges Plaza (Ferry Building),50,9/18/2013 18:40,Embarcadero at Bryant,54,260,Subscriber,94105
26771,1076,9/18/2013 22:28,2nd at South Park,64,9/18/2013 22:46,Powell at Post (Union Square),71,625,Customer,
26864,303,9/19/2013 7:45,Harry Bridges Plaza (Ferry Building),50,9/19/2013 7:50,Commercial at Montgomery,45,548,Subscriber,94965
26976,412,9/19/2013 8:40,Embarcadero at Bryant,54,9/19/2013 8:47,Harry Bridges Plaza (Ferry Building),50,292,Subscriber,94105
27177,323,9/19/2013 10:14,Washington at Kearney,46,9/19/2013 10:20,Steuart at Market,74,360,Subscriber,94133
27203,381,9/19/2013 10:51,Mechanics Plaza (Market at Battery),75,9/19/2013 10:58,2nd at South Park,64,409,Subscriber,94109
27234,525,9/19/2013 11:18,Civic Center BART (7th at Market),72,9/19/2013 11:26,Townsend at 7th,65,270,Subscriber,94597
27326,6466,9/19/2013 12:14,Embarcadero at Sansome,60,9/19/2013 14:02,Embarcadero at Sansome,60,534,Customer,48103
27630,1225,9/19/2013 15:58,Embarcadero at Sansome,60,9/19/2013 16:18,Washington at Kearney,46,272,Customer,22302
27870,545,9/19/2013 17:47,Townsend at 7th,65,9/19/2013 17:56,2nd at Townsend,61,560,Subscriber,94105
28105,314,9/19/2013 20:46,Mountain View Caltrain Station,28,9/19/2013 20:51,Mountain View City Hall,27,147,Subscriber,94107
28248,368,9/20/2013 7:36,2nd at Folsom,62,9/20/2013 7:42,Market at 4th,76,530,Subscriber,94105
28617,355,9/20/2013 11:20,2nd at Townsend,61,9/20/2013 11:26,2nd at Folsom,62,335,Subscriber,95348
28749,410,9/20/2013 12:42,San Pedro Square,6,9/20/2013 12:49,San Jose City Hall,10,664,Subscriber,95110
28875,1036,9/20/2013 14:02,South Van Ness at Market,66,9/20/2013 14:19,Harry Bridges Plaza (Ferry Building),50,637,Subscriber,94607
28920,9227,9/20/2013 14:29,Harry Bridges Plaza (Ferry Building),50,9/20/2013 17:03,Embarcadero at Vallejo,48,416,Customer,46202
29003,1532,9/20/2013 15:46,Embarcadero at Sansome,60,9/20/2013 16:12,Powell at Post (Union Square),71,562,Customer,98116
29228,714,9/20/2013 17:33,Townsend at 7th,65,9/20/2013 17:45,Spear at Folsom,49,500,Subscriber,94105
29403,389,9/20/2013 19:12,Spear at Folsom,49,9/20/2013 19:18,2nd at Townsend,61,291,Subscriber,94107
29486,584,9/20/2013 20:46,2nd at South Park,64,9/20/2013 20:56,Steuart at Market,74,360,Customer,94123
29521,473,9/20/2013 21:51,Washington at Kearney,46,9/20/2013 21:59,Market at Sansome,77,573,Subscriber,94107
29536,363,9/20/2013 22:12,Arena Green / SAP Center,14,9/20/2013 22:18,San Pedro Square,6,650,Subscriber,95116
29622,4832,9/21/2013 1:33,Clay at Battery,41,9/21/2013 2:53,Clay at Battery,41,488,Customer,92129
29828,447,9/21/2013 14:56,Howard at 2nd,63,9/21/2013 15:03,Harry Bridges Plaza (Ferry Building),50,319,Subscriber,94105
29833,403,9/21/2013 15:05,Howard at 2nd,63,9/21/2013 15:12,Yerba Buena Center of the Arts (3rd @ Howard),68,473,Customer,11767
29843,9858,9/21/2013 15:14,Market at Sansome,77,9/21/2013 17:59,Mechanics Plaza (Market at Battery),75,284,Customer,27606
29913,339,9/21/2013 16:42,Market at Sansome,77,9/21/2013 16:48,Market at 4th,76,536,Customer,
30038,641,9/21/2013 19:09,Embarcadero at Bryant,54,9/21/2013 19:20,Beale at Market,56,279,Subscriber,94070
30451,1369,9/22/2013 12:42,2nd at South Park,64,9/22/2013 13:04,Embarcadero at Vallejo,48,446,Customer,91505
